.aero,whois.aero
.ac,whois.nic.ac
.ae,whois.uaenic.ae
.ae.org,whois.centralnic.net
.af,whois.nic.af
.ag,whois.nic.ag
.am,whois.amnic.net
.as,whois.nic.as
.asia,whois.nic.asia
.at,whois.nic.at
.au,whois.aunic.net
.be,whois.dns.be
.bg,whois.register.bg
.biz,whois.biz
.br,whois.registro.br
.br.com,whois.centralnic.net
.bz,whois2.afilias-grs.net
.ca,whois.cira.ca
.cat,whois.cat
.cc,whois.nic.cc
.cd,whois.cd
.ch,whois.nic.ch
.ck,whois.nic.ck
.cl,whois.nic.cl
.cn,whois.cnnic.net.cn
.cn.com,whois.centralnic.net
.com,whois.verisign-grs.net
.coop,whois.nic.coop
.cx,whois.nic.cx
.cz,whois.nic.cz
.de,whois.denic.de
.de.com,whois.centralnic.net
.dk,whois.dk-hostmaster.dk
.dm,whois.nic.dm
.edu,whois.verisign-grs.net
.ee,whois.eenet.ee
.eu,whois.eu
.eu.com,whois.centralnic.net
.fi,whois.ficora.fi
.fo,whois.ripe.net
.fr,whois.nic.fr
.gb.com,whois.centralnic.net
.gb.net,whois.centralnic.net
.gd,whois.adamsnames.tc
.gl,whois.ripe.net
.gov,whois.nic.gov
.gs,whois.nic.gs
.hk,whois.hkdnr.net.hk
.hm,whois.registry.hm
.hu,whois.nic.hu
.hu.com,whois.centralnic.net
.ie,whois.domainregistry.ie
.il,whois.isoc.org.il
.in,whois.inregistry.net
.info,whois.afilias.info
.int,whois.iana.org
.io,whois.nic.io
.is,whois.isnic.is
.it,whois.nic.it
.jobs,jobswhois.verisign-grs.com
.jp,whois.jprs.jp
.jpn.com,whois.centralnic.net
.ki,whois.nic.ki
.kp,whois.kcce.kp
.kr,whois.krnic.net
.kr.com,whois.centralnic.net
.la,whois.nic.la
.li,whois.nic.li
.lk,whois.nic.lk
.lt,whois.domreg.lt
.lu,whois.dns.lu
.lv,whois.nic.lv
.ly,whois.nic.ly
.mc,whois.ripe.net
.me,whois.meregistry.net
.mil,whois.nic.mil
.mobi,whois.dotmobiregistry.net
.ms,whois.adamsnames.tc
.mu,whois.nic.mu
.museum,whois.museum
.mx,whois.nic.mx
.my,whois.mynic.net.my
.na,whois.na-nic.com.na
.name,whois.nic.name
.net,whois.verisign-grs.net
.nf,whois.nic.nf
.nl,whois.domain-registry.nl
.no,whois.norid.no
.no.com,whois.centralnic.net
.nu,whois.nic.nu
.nz,whois.srs.net.nz
.org,whois.pir.org
.pl,whois.dns.pl
.pro,whois.registrypro.pro
.pt,whois.dns.pt
.qc.com,whois.centralnic.net
.re,whois.nic.fr
.ro,whois.rotld.ro
.ru,whois.ripn.net
.ru.com,whois.centralnic.net
.sa,saudinic.net.sa
.sa.com,whois.centralnic.net
.sc,whois2.afilias-grs.net
.se,whois.iis.se
.se.com,whois.centralnic.net
.se.net,whois.centralnic.net
.sg,whois.nic.net.sg
.sh,whois.nic.sh
.si,whois.arnes.si
.sk,whois.ripe.net
.sm,whois.ripe.net
.st,whois.nic.st
.tc,whois.adamsnames.tc
.tf,whois.nic.fr
.th,whois.thnic.net
.tk,whois.dot.tk
.tl,whois.nic.tl
.tm,whois.nic.tm
.to,whois.tonic.to
.tp,whois.nic.tl
.tr,whois.nic.tr
.tv,whois.nic.tv
.tw,whois.twnic.net
.ua,whois.net.ua
.uk,whois.nic.uk
.uk.com,whois.centralnic.net
.uk.net,whois.centralnic.net
.us,whois.nic.us
.us.com,whois.centralnic.net
.uy.com,whois.centralnic.net
.va,whois.ripe.net
.vc,whois2.afilias-grs.net
.vg,whois.adamsnames.tc
.web.com,whois.centralnic.net
.ws,whois.website.ws
.za.com,whois.centralnic.net
.za,whois.registry.net.za
